f1,f2
0.7421,1.3476
0.7400,1.3514
0.7393,1.3527
0.7380,1.3550
0.7373,1.3563
0.7373,1.3564
0.7366,1.3576
0.7363,1.3581
0.7340,1.3624
0.7332,1.3639
0.7329,1.3645
0.7327,1.3648
0.7310,1.3680
0.7290,1.3718
0.7281,1.3735
0.7257,1.3779
0.7256,1.3781
0.7246,1.3800
0.7245,1.3803
0.7210,1.3869
0.7209,1.3871
0.7200,1.3888
0.7190,1.3908
0.7169,1.3949
0.7133,1.4018
0.7130,1.4092
0.7068,1.4149
0.7021,1.4243
0.7008,1.4269
0.6974,1.4338
0.6972,1.4343
0.6961,1.4366
0.6956,1.4375
0.6949,1.4392
0.6926,1.4437
0.6911,1.4471
0.6885,1.4524
0.6864,1.4569
0.6847,1.4605
0.6822,1.4659
0.6800,1.4705
0.6800,1.4705
0.6797,1.4711
0.6768,1.4775
0.6759,1.4795
0.6754,1.4806
0.6744,1.4828
0.6723,1.4874
0.6723,1.4875
0.6715,1.4893
0.6702,1.4921
0.6685,1.4960
0.6654,1.5029
0.6627,1.5089
0.6626,1.5093
0.6614,1.5119
0.6613,1.5122
0.6587,1.5182
0.6556,1.5253
0.6549,1.5269
0.6530,1.5314
0.6527,1.5321
0.6520,1.5337
0.6515,1.5348
0.6513,1.5355
0.6504,1.5375
0.6501,1.5381
0.6488,1.5413
0.6473,1.5449
0.6454,1.5495
0.6411,1.5598
0.6396,1.5634
0.6393,1.5642
0.6386,1.5658
0.6371,1.5695
0.6359,1.5726
0.6339,1.5775
0.6334,1.5787
0.6320,1.5824
0.6298,1.5877
0.6274,1.5939
0.6257,1.5983
0.6256,1.5985
0.6250,1.6001
0.6243,1.6019
0.6225,1.6065
0.6220,1.6077
0.6201,1.6128
0.6198,1.6134
0.6191,1.6153
0.6141,1.6285
0.6129,1.6315
0.6107,1.6375
0.6088,1.6427
0.6070,1.6473
0.6068,1.6480
0.6048,1.6533
0.6033,1.6576
0.6033,1.6577
0.6029,1.6587
0.6021,1.6607
0.6018,1.6617
0.5996,1.6677
0.5994,1.6684
0.5987,1.6703
0.5970,1.6751
0.5961,1.6776
0.5957,1.6787
0.5939,1.6838
0.5937,1.6845
0.5917,1.6899
0.5909,1.6923
0.5909,1.6923
0.5889,1.6982
0.5887,1.6987
0.5885,1.6993
0.5837,1.7131
0.5836,1.7135
0.5825,1.7167
0.5819,1.7185
0.5799,1.7244
0.5784,1.7291
0.5783,1.7292
0.5783,1.7293
0.5767,1.7341
0.5759,1.7363
0.5749,1.7396
0.5720,1.7481
0.5716,1.7493
0.5704,1.7532
0.5703,1.7534
0.5702,1.7537
0.5685,1.7591
0.5684,1.7593
0.5674,1.7625
0.5665,1.7652
0.5650,1.7700
0.5596,1.7870
0.5596,1.7871
0.5581,1.7918
0.5561,1.7981
0.5560,1.7985
0.5552,1.8011
0.5549,1.8023
0.5482,1.8241
0.5481,1.8244
0.5451,1.8344
0.5449,1.8350
0.5436,1.8397
0.5426,1.8429
0.5414,1.8472
0.5413,1.8475
0.5406,1.8499
0.5388,1.8561
0.5376,1.8601
0.5372,1.8614
0.5371,1.8618
0.5364,1.8642
0.5350,1.8690
0.5334,1.8749
0.5316,1.8811
0.5290,1.8902
0.5266,1.8989
0.5266,1.8991
0.5259,1.9015
0.5243,1.9073
0.5242,1.9076
0.5231,1.9115
0.5222,1.9152
0.5199,1.9235
0.5183,1.9293
0.5169,1.9347
0.5152,1.9409
0.5133,1.9482
0.5092,1.9639
0.5054,1.9788
0.5053,1.9789
0.5044,1.9824
0.5043,1.9831
0.5041,1.9836
0.5032,1.9873
0.5032,1.9874
0.5030,1.9881
0.5026,1.9897
0.4988,2.0046
0.4984,2.0065
0.4983,2.0068
0.4967,2.0132
0.4952,2.0192
0.4920,2.0327
0.4914,2.0352
0.4888,2.0458
0.4885,2.0472
0.4880,2.0491
0.4880,2.0493
0.4877,2.0505
0.4839,2.0664
0.4822,2.0739
0.4737,2.1109
0.4723,2.1172
0.4707,2.1247
0.4699,2.1279
0.4694,2.1305
0.4688,2.1331
0.4635,2.1577
0.4593,2.1772
0.4591,2.1781
0.4562,2.1919
0.4559,2.1936
0.4542,2.2015
0.4541,2.2023
0.4521,2.2118
0.4513,2.2156
0.4512,2.2164
0.4487,2.2288
0.4453,2.2455
0.4444,2.2505
0.4415,2.2650
0.4403,2.2714
0.4395,2.2753
0.4388,2.2790
0.4380,2.2831
