f1,f2
0.5889,1.7199
0.4213,2.4519
0.7614,1.3248
0.7003,1.4412
0.7869,1.2815
0.5482,1.8504
0.5894,1.6981
0.6294,1.6045
0.7137,1.4308
0.6801,1.4703
0.5851,1.7090
0.7498,1.3421
0.4435,2.2548
0.4502,2.2666
0.5176,1.9319
0.5636,1.8065
0.6646,1.5248
0.8051,1.2420
0.7069,1.4146
0.6216,1.6088
0.6986,1.4315
0.6936,1.4671
0.7444,1.3481
0.7368,1.3571
0.6638,1.5163
0.5531,1.8248
0.6847,1.4620
0.7478,1.3621
0.7750,1.3176
0.4761,2.1103
0.6588,1.5220
0.5472,1.8276
0.7302,1.3695
0.5164,1.9766
0.5625,1.7987
0.5265,1.9412
0.7732,1.3241
0.4956,2.0566
0.7069,1.4146
0.5218,1.9165
0.5446,1.8400
0.5815,1.7196
0.6313,1.5840
0.6538,1.5295
0.5289,1.8912
0.8209,1.2403
0.5698,1.7715
0.5028,2.0320
0.6312,1.5977
0.5682,1.7942
0.6183,1.6227
0.4892,2.0728
0.6068,1.6480
0.4890,2.0455
0.4202,2.4268
0.5618,1.7801
0.4648,2.1753
0.7162,1.3962
0.5211,1.9189
0.5451,1.8846
0.6533,1.5634
0.5982,1.6798
0.4266,2.3439
0.5951,1.6835
0.6336,1.5783
0.6201,1.6584
0.4671,2.1420
0.6146,1.6292
0.6587,1.5562
0.7120,1.4160
0.7854,1.2978
0.6747,1.4822
0.7314,1.3761
0.7163,1.3990
0.8032,1.2450
0.7595,1.3245
0.5666,1.8223
0.7473,1.3382
0.6810,1.4812
0.7068,1.4309
0.5196,1.9246
0.6399,1.5930
0.5333,1.8957
0.4362,2.3387
0.5093,1.9944
0.7379,1.3551
0.5024,2.0035
0.6908,1.4515
0.4517,2.2138
0.6960,1.4416
0.7625,1.3125
0.4904,2.0390
0.7892,1.2672
0.6143,1.6279
0.5712,1.7845
0.6767,1.4777
0.6046,1.6607
0.4450,2.2846
0.4512,2.2505
0.5179,1.9311
0.6220,1.6157
0.5106,1.9586
0.5456,1.8327
0.6422,1.6042
0.4454,2.2453
0.5426,1.8443
0.5661,1.8072
0.5418,1.8456
0.6047,1.6642
0.6937,1.4454
0.5910,1.6920
0.8027,1.2590
0.7551,1.3288
0.7110,1.4313
0.6141,1.6474
0.3852,2.6343
0.6682,1.5048
0.6078,1.6452
0.6121,1.6431
0.6548,1.5362
0.6369,1.5937
0.7568,1.3254
0.6364,1.5713
0.5107,1.9580
0.7207,1.3875
0.6287,1.5906
0.7009,1.4471
0.5439,1.8385
0.5578,1.7928
0.6686,1.4956
0.7780,1.2997
0.5134,1.9534
0.6353,1.5790
0.6622,1.5354
0.4735,2.1117
0.6702,1.5549
0.5412,1.8477
0.6323,1.5838
0.8133,1.2296
0.7542,1.3475
0.4646,2.1840
0.6421,1.5641
0.6752,1.4990
0.5087,1.9929
0.6811,1.4683
0.4629,2.1802
0.6621,1.5104
0.7149,1.4199
0.6149,1.6480
0.6377,1.5708
0.5430,1.8728
0.5108,1.9578
0.5036,1.9968
0.6686,1.4956
0.5033,1.9955
0.6680,1.4971
0.5955,1.6792
0.7673,1.3445
0.6099,1.6396
0.7616,1.3131
0.5712,1.7508
0.6124,1.6329
0.6683,1.5095
0.5375,1.8682
0.6268,1.5966
0.6017,1.6619
0.5997,1.7131
0.4643,2.1904
0.6967,1.4613
0.7116,1.4053
0.6381,1.6232
0.6294,1.5887
0.5720,1.7592
0.7128,1.4517
0.6524,1.5404
0.7913,1.2780
0.6472,1.5454
0.7693,1.2998
0.5783,1.7292
0.7839,1.2757
0.5385,1.8807
0.6007,1.6646
0.5654,1.7795
0.6226,1.6462
0.4192,2.4843
0.7739,1.2933
0.3999,2.6344
0.5213,1.9265
0.5528,1.8508
0.7408,1.3499
0.7966,1.2751
