f1,f2
0.7454,1.4075
0.4391,2.2776
0.6466,1.6353
1.0000,1.1400
0.3585,2.7897
0.3875,2.6799
0.5123,2.1014
0.5342,1.8718
0.7901,1.2657
0.4733,2.3324
0.6286,1.8235
0.4929,2.0286
0.2866,3.5283
0.5279,2.0830
0.1835,5.4489
0.5676,1.8506
0.7231,1.3830
0.4622,2.2517
0.2361,4.2355
0.4995,2.0152
0.6615,1.5657
0.9521,1.0503
0.2797,3.6557
0.1407,7.2209
0.3742,2.6723
0.1000,10.0000
0.1000,10.0000
0.2616,4.0582
0.5147,1.9427
0.1000,10.0000
0.3467,2.8840
0.3000,3.6193
1.0000,1.0994
0.3981,2.6927
0.4929,2.0286
0.5037,1.9855
0.4544,2.2008
0.2902,3.4458
0.6370,1.6226
0.5567,2.0192
0.7794,1.3703
0.1000,10.0000
0.8649,1.1562
0.5058,1.9772
0.5034,2.3279
0.4687,2.1336
0.3632,2.7536
0.3083,3.7478
0.1000,10.5825
1.0000,1.0000
0.4673,2.2006
1.0000,1.0000
0.1572,6.3616
0.4422,2.2614
0.5486,1.8229
0.2297,4.3538
1.0000,1.0000
0.3661,2.7313
0.7293,1.3711
0.4693,2.1311
0.3708,2.6968
0.5670,1.7636
0.5994,1.6684
0.1010,10.8265
0.9623,1.0392
0.2838,3.5234
0.7723,1.4367
0.3389,2.9503
0.4689,2.1327
0.2834,3.5287
0.5664,1.7656
0.7026,1.4233
0.1693,5.9078
0.6635,1.5072
1.0000,1.0149
0.9672,1.0339
0.2328,4.2956
0.6646,1.6064
0.5320,1.8799
0.3446,2.9022
0.1000,10.0000
0.4516,2.5380
0.5242,1.9520
0.7461,1.4733
0.7932,1.2607
0.5707,1.7523
0.5737,1.8649
0.1852,5.6326
0.3324,3.4053
0.7066,1.7056
0.2295,4.7967
0.1000,10.8306
0.4793,2.0926
0.4664,2.1440
0.6636,1.5070
0.8263,1.2103
0.7264,1.3767
0.3387,2.9524
0.4099,2.4397
0.3274,3.4067
0.2895,3.5955
0.1000,10.0000
0.3242,3.0844
0.6651,1.6985
0.3888,2.5721
0.9682,1.0506
0.5694,1.9419
0.9429,1.0605
0.3145,3.3606
0.9127,1.2987
0.8526,1.1728
0.2296,4.3550
0.1164,9.4534
0.6872,1.4552
0.8672,1.1656
0.7964,1.2557
0.4365,2.4170
0.3597,2.7805
0.4584,2.8599
1.0000,1.0000
0.1779,5.8518
0.7870,1.2706
0.7482,1.4471
0.3165,3.1595
0.7132,1.4021
0.5960,1.6778
0.3013,3.4917
0.1000,10.0000
0.8364,1.1957
0.7312,1.3677
0.2021,5.6380
0.2198,5.1054
0.6065,1.6489
0.6957,1.4388
0.5125,1.9512
0.5167,1.9353
1.0000,1.0000
0.8924,1.1206
0.6477,1.7363
0.2493,4.0109
0.1000,10.0000
0.6351,1.6821
0.7035,1.5018
0.1000,10.0000
0.1152,9.2999
0.5706,1.8556
0.3949,3.7014
0.5586,1.7902
0.1000,10.0000
0.9442,1.1223
0.8073,1.3278
0.1365,8.0329
0.7086,1.4171
0.7797,1.3688
0.3260,3.2935
0.1985,5.0385
0.4449,2.4131
0.7341,1.4872
1.0000,1.0000
0.6891,1.4511
0.1977,5.0641
0.1000,10.7172
0.8036,1.2545
0.8049,1.3304
0.7130,1.4025
0.6010,1.7686
0.6300,1.7717
0.1508,6.8243
0.7839,1.4976
0.6981,1.6303
0.3667,2.7267
0.7291,1.3715
0.4739,2.2231
0.2722,3.7530
0.5572,2.0864
0.8625,1.1658
0.1000,10.0000
0.3780,2.9733
0.2198,4.7726
0.7884,1.3683
0.8182,1.2222
0.1000,10.0000
0.4546,2.1996
0.4130,2.4211
0.3319,3.0127
0.4475,2.2751
0.4484,2.3217
0.3353,3.1427
0.3341,3.1717
0.7915,1.2634
0.8967,1.1367
0.7820,1.2787
0.4233,2.4377
0.2860,3.4963
0.8922,1.2531
0.1000,10.0000
0.3750,2.6667
0.9924,1.1624
0.5369,1.8624
0.5481,1.8703
0.1000,10.9969
0.8468,1.3676
0.5548,1.8025
0.2292,4.3629
0.3538,2.9904
1.0000,1.0377
1.0000,1.0000
0.5942,1.8554
1.0000,1.1110
0.5086,1.9787
0.3751,2.7998
0.4603,2.1724
0.6170,1.7520
0.1000,10.8697
0.4153,2.6319
0.8593,1.1637
0.5186,1.9894
0.1000,10.8883
0.1929,5.5195
0.4880,2.0491
0.1000,10.0000
0.4707,2.3600
0.6879,1.6294
0.9232,1.0831
0.7525,1.4850
0.1489,6.7154
0.5994,1.9513
0.3760,2.8427
0.2929,3.4140
0.6820,1.4662
0.2602,3.8425
0.8702,1.2502
0.1221,8.1927
0.2846,3.5140
0.3882,2.5759
0.1000,10.0000
0.7061,1.6655
1.0000,1.0000
0.2828,3.5366
0.5605,1.7840
1.0000,1.0891
0.6636,1.5070
0.7408,1.3499
0.6688,1.5229
0.1062,9.4199
0.5979,1.9877
0.6339,1.5775
0.3392,2.9482
0.5024,1.9906
0.1378,7.9121
0.5902,1.6943
0.9170,1.0905
0.5504,1.9568
0.2759,3.6240
1.0000,1.0000
0.2818,3.6063
0.6601,1.5149
0.4431,2.2570
0.6613,1.7960
0.1084,9.2279
0.4047,2.5786
0.2562,3.9549
0.6236,1.6852
0.9160,1.1118
0.4145,2.4125
0.4040,2.4751
0.7403,1.3576
0.6111,1.6363
0.7525,1.3288
0.4332,2.3085
0.6766,1.6019
0.7310,1.3679
0.9665,1.2469
0.1000,10.0000
0.9644,1.0369
0.3785,2.6777
0.8935,1.1192
0.4623,2.1630
0.2542,3.9730
0.4007,3.0554
0.6982,1.6587
0.9000,1.1111
0.5662,1.7661
0.7550,1.3490
0.4053,2.6740
0.6862,1.5193
0.2689,3.7194
0.1000,11.0127
0.3179,3.1453
0.6279,2.1130
0.7804,1.4117
0.2804,3.9688
0.4857,2.0590
0.1482,7.2662
0.5383,1.8578
0.3495,2.8615
0.3503,3.1837
1.0000,1.2150
0.3307,3.1566
0.4883,2.0480
0.5546,1.8701
0.8672,1.1531
0.3203,3.1220
0.2841,3.5197
0.8484,1.1786
0.8695,1.3452
0.7242,1.3807
0.3155,3.2587
0.6869,1.4559
0.4552,2.1968
0.1000,10.4865
0.5197,1.9241
0.6765,1.5080
0.1000,10.0000
0.4122,2.5005
0.6758,1.5340
0.2657,3.7637
0.8139,1.2286
0.3225,3.1003
0.3037,3.3956
0.3120,3.6412
0.2751,3.6353
1.0000,1.0000
0.3830,2.6164
0.3426,2.9192
0.5766,1.9536
0.1000,10.0000
0.1000,11.4775
0.8441,1.2346
0.4637,2.6643
0.4605,2.2096
0.1000,10.8077
0.6561,1.5417
0.5503,1.9397
0.1000,10.7499
0.7863,1.3875
0.4105,2.9183
0.3892,2.5696
1.0000,1.0000
0.5199,2.3933
0.5428,1.8425
0.4723,2.2907
0.3633,3.2668
0.5385,1.8572
0.6099,1.6395
0.7910,1.2642
0.7840,1.3727
0.3817,3.2341
0.6953,1.6794
0.6129,1.6464
0.9474,1.1836
0.1876,5.3304
0.5455,1.8333
0.7530,1.5254
0.9654,1.0596
0.8285,1.2070
0.2987,3.6456
0.3534,2.8298
0.1109,9.0184
0.1000,11.1041
0.8437,1.1976
1.0000,1.0734
0.5529,2.0166
0.2964,3.4844
0.5141,1.9610
0.9039,1.1063
0.5259,1.9014
0.7809,1.3453
0.3588,2.7874
0.2370,4.2198
0.9421,1.1031
1.0000,1.0048
0.8914,1.2376
0.1000,10.0000
0.5093,2.2918
0.3819,2.6188
0.7882,1.3839
1.0000,1.0000
0.5646,2.0712
0.1000,10.7115
0.1168,11.0701
0.3938,2.5393
0.9329,1.1203
0.2066,5.2328
0.3399,3.3901
1.0000,1.0000
0.2530,4.1684
0.3167,3.1803
0.1698,5.8876
0.1000,10.0000
0.4005,2.4971
1.0000,1.0902
0.7016,1.4254
0.1000,10.0000
0.6885,1.4922
0.4467,2.5572
0.5061,2.0408
0.7592,1.3253
0.4879,2.0497
0.7480,1.3990
0.9338,1.0728
0.7213,1.3865
1.0000,1.1504
0.6751,1.4813
0.4721,2.3811
0.6722,1.5101
0.1000,12.3639
0.4489,2.6291
0.1000,10.0562
0.2524,4.0836
0.2866,3.4892
0.6256,1.5984
0.2143,5.0408
0.4483,2.2308
0.8973,1.1514
0.7906,1.2648
0.4147,2.4113
0.4486,2.2292
0.7748,1.3425
0.2952,3.4782
0.2732,3.6598
0.8760,1.1415
0.5304,1.9921
0.6125,1.6327
0.7244,1.5307
0.5483,1.8238
0.6302,1.5868
0.1000,11.1513
0.4860,2.0576
0.1539,6.8261
0.3100,3.4389
0.7063,1.5552
0.6836,1.4779
0.6212,1.6446
1.0000,1.0000
0.7480,1.3369
0.1000,10.2855
0.4328,2.3106
0.2446,4.1370
0.5210,1.9353
0.3655,2.7357
0.8594,1.1636
0.5019,2.0466
0.8336,1.2590
0.8713,1.1554
0.7064,1.4156
0.4382,2.4181
0.8609,1.1616
0.4306,2.3997
0.5128,2.0808
0.5438,2.3092
0.3606,2.7733
0.4079,2.4514
0.5075,1.9704
0.5956,1.6790
0.8457,1.1825
1.0000,1.0000
0.7532,1.6866
0.8685,1.1514
0.1000,10.0000
0.7213,1.4321
0.5009,2.0670
0.3748,2.6679
0.6084,1.6435
0.2319,4.3115
0.1000,11.2504
0.4554,2.5239
0.3986,2.9009
0.8633,1.4345
0.7908,1.2645
0.3998,2.8232
0.4422,2.3484
0.4131,2.5752
0.7473,1.4392
0.2259,4.5146
0.5373,2.2036
0.6917,1.4929
1.0000,1.0713
0.7183,1.4056
0.2069,4.8337
1.0000,1.0766
0.1179,9.8563
0.6373,1.5691
0.4026,2.4838
0.8681,1.1520
0.8391,1.1931
0.4592,2.4534
0.3346,2.9887
0.5414,1.8708
0.2069,5.1380
0.6016,1.7723
0.2403,4.1611
0.1000,10.0285
0.1000,10.0000
1.0000,1.1575
0.3569,2.8017
0.8973,1.1867
1.0000,1.0626
0.9008,1.3240
0.6276,1.6707
0.2831,3.8257
0.7130,1.5828
0.6861,1.5233
0.2210,4.5250
0.3890,3.1747
0.1000,10.7541
0.8275,1.2750
1.0000,1.2670
0.8214,1.2269
0.5734,1.7439
0.9504,1.0522
0.6279,1.8446
0.6120,1.6548
0.6122,1.6739
0.5686,1.9697
0.1626,6.5324
0.1544,6.4767
0.5599,2.0330
1.0000,1.0000
0.3433,2.9132
0.4197,2.3827
0.9369,1.0673
0.2114,4.7962
0.8112,1.3536
0.5461,1.8311
0.2403,4.2183
0.2484,4.0780
0.2755,3.7468
0.4021,2.4870
0.2402,4.1628
0.7946,1.2585
0.5537,1.8059
0.5041,2.0217
0.1000,10.0000
0.3973,2.5169
1.0000,1.0000
0.4437,2.2536
0.8465,1.1814
1.0000,1.0000
0.1753,5.7037
0.3725,2.7118
0.5240,1.9961
0.3152,3.1730
0.1000,10.9651
0.6401,1.5623
0.9546,1.0476
0.7618,1.3777
0.7592,1.3172
0.5594,1.7875
1.0000,1.0365
0.3584,3.0357
0.4744,2.1080
0.1164,9.1724
0.5944,1.7934
0.9470,1.1831
0.2623,3.8122
0.8017,1.3623
0.4596,2.1758
0.8773,1.4310
0.8310,1.2158
0.4856,2.3160
0.5863,1.7056
